industruID,metirialID,metirialname,qty
4080,394,HIPS,"50 kg"
4080,395,PP,"150 kg"
4134,396,"Waste Plastics",
24729,397,Papers,"1500 kg - 1750 kg"
4060,398,Polythene,"1000 kg"
4060,399,Dye,"6 kg"
4056,400,Copper,"20 Tons/month"
2422,401,Boulders,
4081,402,"PVC Resin","185 tons/month"
4081,403,Stabilizers,"5 tons/month"
4081,404,Wax,"0.5 tons/month"
17849,405,Ammoium,5kg
17849,406,"black powder",250kg
1865,407,"Metal sheets",
1865,408,"Electrical item",
1865,409,Wire,
4123,410,"Recycled Plastic & Polythene","30 kg/day"
17849,411,"wter gel",
4081,412,"Calcium Carbonate","34 tons/month"
4081,413,"Titanium Oxides","1 tons/month"
4081,414,"Stearic Acid","1 tons/month"
24733,415,Rubbles,
1864,416,"Polythene and nylone waste",
10549,417,Flour,1750
10549,418,Suger,600
10549,419,Eggs,100
10549,420,Other,525
3289,421,"Denatured Rectified Sprit (Trade Names:Unikon, CDE)",
4073,422,"Synthetic Camphor Powder",
4073,423,"Refined Napthalene Powder",
4153,424,"Paper rolls",
4153,425,Gums,
4153,426,"Solvent based paints",
2446,427,"Kerosene Oil",
3311,428,"Polytheene beads (H.D.P.E)",
24742,429,"3x rubber",
1867,430,Laminated(LDPB/HDPB),
24742,431,"R.S.S rubber",
24742,432,"Reclaimed rubber",
4128,433,HDPE,
4128,434,LLDP,
4128,435,"Masterbatch (Colourng)",
17923,436,Broilers,30000
24743,437,Rubber,
17923,438,Pigs,10
24743,439,Filler,
17923,440,Feed,
24743,441,"Other minor chemicals",
24743,442,Oil,
1965,443,"Cut fabrics","4800 pieces"
24744,444,UDPE,"1200 - 1300 kg/day"
24744,445,HDPE,"1200 - 1300 kg/day"
4082,446,"Textile Fabric",
4082,447,"Sewing Thread",
1873,448,Pigments,300kgs/day
1873,449,Resins,800kgs/day
1873,450,Solvents,300kgs/day
1873,451,Additives,100kgs/day
3262,452,"MDF board",10
3262,453,"Plywood  boards",05
10327,454,Limestone,
4144,455,"HDPE Polythene","1000 kg/day"
4106,456,"Plastic Polymer",
2045,457,PVC,2000kg/day
10331,458,Mica,
24747,459,"'6 x 9 ' granaite",
4118,460,"Melamine Boards",1500
4118,461,"MDF Boards","35 units"
3211,462,water,1000l
3211,463,"Animal food",750lg
24749,464,Feed,"500 kg/day"
3206,465,H.D.P.E.,350kg
3206,466,"Recycled H.D.P.E. ",250kg
3206,467,CaCO3,100kg
24756,468,"LLDPE/ HDPE",1200-1300Kg
3256,469,"Polymer resins",400kg
10517,470,"Curry leaves,Cardommon, Peper, Tumeric, Ginger",
10489,471,"paddy & Water",115000
18997,472,,
16461,473,Paddy,"4000 kg/day"
15351,474,Dust,"112 T/d"
15351,475,Aggregates,"137 T/d"
15351,476,Bitumen,"11.75 T/d"
15351,477,Diesel,"3330 l/d"
2147483647,478,Dolamite,20
2147483647,479,pelspa,15
2147483647,480,Quartz,15
24766,481,Granite,
10475,482,"polystyrene wool",
18995,483,metals,10kg/month
19215,484,Chile,1000kg
16462,485,Paddy,"4000 kg/day"
24767,486,Soya,
18048,487,Water,
18048,488,"Veheicle washing chemicals",
16463,489,Paddy,"4500 kg/day"
17941,490,Granite,
10492,491,"Chips, Dust, 3/4 metal",
10481,492,"Boulders mining from the quarry",
18028,493,Paddy,
10480,494,"cement,sand,admixture,water",
17845,495,"6’*9’ Granite","18 cubes"
16566,496,Paddy,4300kg/day
16570,497,Paddy,
1869,498,HD,
16464,499,Paddy,"3500 kg/day"
16647,500,"Steel Pipes",20Pipes/Month
1896,501,"Organic/inorganic pigments",180kg
1896,502,"Acrylic Co polymer","450 kg"
16647,503,"Iron Sheet",25nos
16647,504,"Iron  tore","30bars/ Month"
16465,505,Paddy,"4000 kg/day"
24778,506,"Beef, fish, chicken, vegetables",
3292,507,"H.D.P.E. (blow and injection grade)",
24779,508,"Metal sheets",
24779,509,"Powder coating materials",
24773,510,Granite,
24779,511,"electrical swithch gears",
24779,512,Cables,
16648,513,"Iron tore",15nos
16648,514,"Iron Bar",15nos
1887,515,"Granite Bouldders",
16648,516,"Iron Sheet",03nos
16648,517,"steel pipes",15bar
16648,518,"Welding rots",10kg
16648,519,"anti - cross (paint)",05lit
16648,520,Dinner,3lit
10325,521,"Explosive materials",
10229,522,Paddy,
2041,523,"Sand papers","15 per day"
2041,524,Lacker,"4 litters per day"
2041,525,Seeler,"4 litters per day"
2041,526,"Thinner ","2 litters per day"
16466,527,Paddy,"5000 kg/day"
3231,528,"Soap liquid",05ltr
3231,529,Kerosine,05ltr
1071,530,"Rice, vegetables, seafood, meat",
24790,531,"Beef, fish, chicken, vegetables",
1889,532,"Animal food",
16467,533,Paddy,"4000 kg/day"
24792,534,"Rice, vegetables,  fish &meat",
18781,535,paddy,1800kg/day
24793,536,Granite,
16468,537,Paddy,"4000 kg/day"
24794,538,Liquor,
24794,539,"Rice, vegetables,  fish &meat",
3215,540,"PET resins","30 tonns per month"
3215,541,"PP resins","5 tonns per month"
3215,542,"PET preforms","1.5million per month"
1890,543,"RSS Rubber",
1890,544,"Crape rubber","100kg per day"
1073,545,"Rice, vegetables,  meat",
24798,546,Paddy,"5000 Kg"
1898,547,Granite,
17396,548,Paddy,
18695,549,Granite,
1895,550,HDPE,"12 Tones per year"
1895,551,LDPE,"12 Tons per year"
16469,552,"Steel pipes","10 pipes/month"
16469,553,"Iron Bar","20 bars/month"
16469,554,"Iron Sheet","20 sq.feet/month"
16469,555,"Welding Road","7 kg/month"
16765,556,"Wheat flour ","150 kg /day"
16765,557,Sugar,"15 kg/day"
16765,558,Margarine,"12 kg/day"
16765,559,"Eggs ","50 nos/day"
16470,560,Paddy,"4000 kg/day"
3222,561,polyropline,98%
3222,562,"Master batch",2%
24801,563,"Poultry feed","160 kg"
16573,564,Paddy,4600kg
16573,565,,
1901,566,Timber,"500 Sq Ft"
1901,567,"Bristel ","105 Kgs"
16573,568,,
1901,569,Ferrcile,"4000 Nos"
1901,570,Tinner,"5 l"
1901,571,Paint,10l
1901,572,"Resin and Harolner","35 Kgs"
1901,573,Nail,
1901,574,Tags,
16471,575,"Welding rod","7 kg/month"
24803,576,Granite,
24802,577,"refer to the file for appendix 02",
1904,578,NA,
17387,579,Tar,12.5
3201,580,"Aluminium foil",2000kg
3201,581,Paper,100kg
3201,582,"Plastic film",2000kg
11834,583,Paddy,6000kg
3201,584,"Ink and  solvents",350kg
3201,585,"Heat seal coating",75kg
1899,586,"Imported and local recycling plastics",
1069,587,"Rice, vegetables,  fish & meat, fruit",
17465,588,Cement,"2.5 tons"
17465,589,"3/4 Grante","6 cubes"
17465,590,Sand,"5 cubes"
6159,591,"granite ",10
12037,592,sludge,
17400,593,Metal,
17400,594,Tar,
12074,595,service,
1902,596,Polypropline,
11842,597,Paddy,5100kg
16473,598,"Steel pipes","10 pipes/month"
16473,599,"Iron bar","10 kg/month"
16473,600,"Iron sheet","20 sq/feet/month"
16473,601,"Welding rod","7 kg/month"
24806,602,Paddy,6000
16597,603,Paddy,4000kg/day
1046,604,"Papers & paints",
2047,605,"Angle Iron","100kg per day"
17384,606,Granite,6x9
16474,607,Water,"500 lit/day"
2047,608,"Channel iron","100kg per day"
2047,609,"Iron sheets","100kg per day"
2047,610,"Bolt pins","100kg per day"
16475,611,Paddy,"4000 kg/day"
1906,612,"Rim wire","2kg per day"
16650,613,"Iron Sheet",1500kg/month
16650,614,Paint,25lit/month
1906,615,pliers,
1906,616,nails,"2kg per day"
17401,617,Diesel,
17401,618,Gas,
16476,619,Paddy,"4000 kg/day"
6257,620,"Aluminum extrusions",100
6257,621,,
6257,622,,
1021,623,"Cement, sand, aggregate, water, admixture, fly ash",
16800,624,"Wheat flour ","100 kg/day"
16800,625,Sugar,"5 kg/day "
16800,626,Vegetables,"5 kg/day "
16800,627,,
16477,628,Paddy,"40000 kg/day"
16478,629,Paddy,"4000 kg/day"
17398,630,Granite,6x9
16479,631,"Steel pipes","10 pipes/month"
16479,632,"Iron Bar","10 bars/month"
16479,633,"Iron sheet","20 sq.feet/month"
16479,634,"Welding rod","7 kg/month"
16654,635,"Iron tore",3bar/month
3228,636,"Alcohol ",
16654,637,"Iron bar",6bar/month
3228,638,"Ascorbic acid",
3228,639,"Benzoic acid",
3228,640,"Canpher powder",
3228,641,"Cherry flavour",
3228,642,"Citric acid anhydrous",
1908,643,"expanded Polysterin",
17399,644,Granite,
16480,645,Paddy,"2000 kg/day"
17375,646,"Explosive material",
16481,647,"Steel pipes","10 pipes/month"
16481,648,"Iron bar","10 bars/month"
16481,649,"Iron sheet","20 sq.feet/month"
16481,650,"Welding rod","7 kg/month"
16865,651,,
16562,652,Paddy,
16562,653,,4600kg/day
1921,654,Papers,"1000 kgs per day"
1921,655,"Korigal gum",50kg
4130,656,Bitumen,"9920 kg/day"
4130,657,Water,"4880 kg/day"
4130,658,Emulsifier,"80 kg/day"
4130,659,Kerosene," 180 kg/day"
4130,660,"Calcium Chloride","1.8 kg/day"
24820,661,"Waste polythene",
4084,662,"High density polythene","600 kg/day"
4084,663,,
4084,664,," "
4084,665,,
17389,666,Granite,
2069,667,"Granite 2""X2""",
1917,668,"BBlasting rock",
4987,669,"Rice, vegetables, groceries, liqour",
1922,670,lether,"9000 ft2"
3339,671,"Plastic recycle materials ",
1922,672,HDPE,"3000 bag per month"
4085,673,"Steel Sheets","35 units/day"
4085,674,"Powder Paint"," 56 kg/day"
4085,675,"134A Gas","5 kg/day"
4085,676,"Hips Sheets","50 units/day"
18666,677,Granite,
24821,678,Granite,"10 cubes"
17392,679,"Clothes ",5000m
24822,680,Soap,
24822,681,Water,
4124,682,Polythene,250
1920,683,Rice,"11730 kgs per month"
17755,684,,
1920,685,"Red Chillese","2500kgs per month"
1920,686,Corriander,"2216kgs per month"
1920,687,"Cummin seeds","197kgs per month"
18363,688,"Rock Boulders",
1920,689,"Fennel seeds","189kgs per month"
3227,690,"Ordinary portland cement","25 tonns / Day"
3227,691,sand,"20 cubes  / Day"
17232,692,Granite,6x9
4133,693,"Saw dust","8000 kg/day"
1915,694,"Scrape rubber",1200kg
18352,695,"Rock Boulders",
4078,696,HDPE,"4000 kg"
4078,697,"Masterbatch ","150 kg"
4078,698,"Solvents + Ink","20 kg"
18427,699,"Tar, metal ",
4071,700,"Veterinary & Pharmaceutical Raw Materials",
18679,701,Granite,
17385,702,Explosive,
18362,703,Rock,
4129,704,Cement,
4129,705,"River sand",
4129,706,"High tensile steel",
4129,707,"Mild Steel",
5129,708,"Rice,meat, fish",
24826,709,,
18664,710,Explosive,"1 kg"
24826,711,Paddy,10000
2059,712,"Short Oil Alkyd resin","15000kgs per month"
18648,713,Granite,
5133,714,Rice,500
5133,715,"Fruits, vegetables",5626
5133,716,"Oil cans",200
4111,717,"Metal Sheets",
4111,718,"Metal Powders",
4111,719,"LPG/O2 Gas",
5040,720,"Rice,meat, fish, vegetables",
2065,721,Polythene,
4064,722,"LV Copper","414 kg"
4064,723,"HV Copper","2794 kg"
4064,724,"Core Steel ","2530 kg"
4064,725,MS,"100 kg"
4064,726,"Powder Paints","12 kg"
4064,727,"TIF Oil","2285 kg"
4064,728,"Nuts & Bolts","482 nos"
4064,729,Insulation,"143 kg"
4143,730,Yarn,"3000 kg/day"
3302,731,"Plastic beads",
2173,732,"granite boulders",
2039,733,"BOPP Film",
3233,734,"Timber adhesives hardware finishing materials (water based)",
4075,735,"Full crem milk powder","28 MT/day"
4075,736,"Skimmed milk powder","7.2 MT/day"
5142,737,"Food & beverages",
3314,738,H.D.P.E.,600kg
3314,739,LLDPE,100kg
3314,740,"Recycled polythene",
16755,741,Paddy,"4500 kg/day"
4083,742,Milk,
4083,743,"Wheat flour",
4083,744,Sugar,
4083,745,Glucose,
4083,746,Gelatine,
4083,747,Salt,
4083,748,"Cocoa Powder",
4083,749,Flovours,
1927,750,"Ball clay","3000 T/M"
1927,751,"Cilica sand",1500T/M
1927,752,Feldspar,
1927,753,Dolamite,
1927,754,Talc,
3338,755,"Plastic wastes",
4140,756,"Mechanical mild steel",
1930,757,"Granite Bouldders",
5001,758,Perchloroethylene,5
5001,759,"Washing powder",25
5001,760,Softner,25
5001,761,Emulsifier,25
4057,762,"Galvanized Sheets",
1925,763,Rubber,390kg
1925,764,"Zinc oxide",13.5kg
1925,765,"Stearic acid",7.5kg
1925,766,TMTD,1kg
1925,767,MBTS,2.6kg
3331,768,"fabric panels",
1932,769,"Local raw materials","100kg per day"
1932,770,"Local dry raw materials ",100kgs/day
1932,771,"Sesami oil",200kg
4100,772,Polyproplene,
4100,773,HDPE,
4100,774,LDPE,
3322,775,"Polythene wastes",
1937,776,"Powder coating powder","20kgs per day"
4109,777,"Caustic Soda",
4109,778,Auxilaries,
4109,779,Water,
4109,780,Dyes,
4109,781,Softners,
5030,782,"Lab reagents",
1828,783,"Precured treads",
1828,784,"Bonding Gum",
3239,785,No,
4114,786,Polythene,"250 kg/day"
1067,787,"Rice, vegetables, fish, meat, fruits",
16756,788,Paddy,"4500 kg/day"
16572,789,Paddy,4500kg/day
16564,790,Paddy,4200kg/day
16763,791,Paddy,"5000 kg/day"
16773,792,Paddy,"4500 kg/day"
16482,793,Paddy,"4000 kg/day"
16486,794,Paddy,"4000 kg/day"
16489,795,Paddy,"7000 kg/day"
16762,796,"Wheat flour ","1050 kg/day"
16762,797,Sugar,"100 kg/day"
16762,798,Margerine,"80 kg/day"
16762,799,Eggs,"150 nos/day"
16813,800,Rice,"10 kg/day"
16813,801,Vegetables,"4 kg/day"
16785,802,Water,"500 l/day"
16809,803,"water ",5oo
16791,804,"Water ","600 lit/day"
11718,805,Grnait,
24837,806,Paddy,3000Kg
11839,807,Paddy,7000
16653,808,"Iron Pipe",50bars/Month
16653,809,"Iron Bar",950kg/Month
16653,810,"Box Bar",25bar/month
16653,811,"L Line","10Bar/ Month"
16653,812,S/Bar,"100Bar/ Month"
16653,813,"Welding electrodes","12kg/ Month"
11710,814,Granite,
11736,815,granite,"30 cubes"
16784,816,Water,"2000 lit/day"
16485,817,,
16485,818,Paddy,"4000 kg/day"
16483,819,"Wheat Flour","100 kg/day"
16483,820,Margarine,"10 kg/day"
16483,821,Sugar,"15 kg/day"
16483,822,Yest,"0.25 kg/day"
16483,823,Egg,"50 nos/day"
16912,824,"iron tore/month",30
16483,825,Water,"50 lit/day"
16651,826,"Iron Bar",100bars/month
16651,827,"Plat iron bar","600kg/ month"
2752,828,"Amonia, Dainamite",4
16651,829,"Iron sheet",15nos/month
1938,830,Aggregates,
16651,831,"Steel pipes","15Pipes/ month"
16912,832,"iron bar/month",50
1938,833,Bitumen,
16651,834,"Welding electrodes","25kg/ month"
16651,835,Paint,5lit/month
16912,836,"iron sheet/month",25
11712,837,Granite,
16912,838,"steel pipes/month",25
18498,839,Paddy,4000Kg
16484,840,"Wheat Flour","2450 kg/month"
