industryID,reminderType,dueDate,dueStatus,recievedDate,applicationID,nxtRemDate,officeID
211,1,2016-08-05,0,NULL,24212,NULL,6
212,1,2016-03-22,0,NULL,24157,NULL,6
213,1,2016-09-17,0,NULL,24273,NULL,6
214,1,2016-01-11,0,NULL,23242,NULL,6
215,1,2015-08-22,0,NULL,24278,NULL,6
216,1,2016-01-18,0,NULL,23288,NULL,6
217,1,2016-05-03,0,NULL,24141,NULL,6
218,1,2016-04-06,0,NULL,23404,NULL,6
219,1,2016-12-01,0,NULL,24310,NULL,6
220,1,2015-01-16,0,NULL,220,NULL,NULL
223,1,2015-12-28,0,NULL,24149,NULL,6
224,1,2014-09-04,0,NULL,224,NULL,NULL
226,1,2015-12-16,0,NULL,23201,NULL,6
227,1,2016-06-06,0,NULL,23774,NULL,6
228,1,2014-11-08,0,NULL,229,NULL,6
230,1,2014-08-30,0,NULL,231,NULL,NULL
231,1,2016-01-27,0,NULL,232,NULL,6
234,1,2015-01-29,0,NULL,235,NULL,NULL
236,1,2015-12-04,0,NULL,23217,NULL,6
237,1,2016-06-25,0,NULL,24146,NULL,6
238,1,2015-04-16,0,NULL,238,NULL,NULL
240,1,2015-11-28,0,NULL,22998,NULL,6
241,1,2012-12-14,0,NULL,242,NULL,NULL
242,1,2014-01-18,0,NULL,243,NULL,NULL
243,1,2016-06-17,0,NULL,24199,NULL,6
244,1,2016-07-21,0,NULL,24194,NULL,6
245,1,2015-05-02,0,NULL,527,NULL,NULL
246,1,2015-06-26,0,NULL,247,NULL,NULL
247,1,2015-04-30,0,NULL,246,NULL,6
248,1,2015-04-18,0,NULL,249,NULL,NULL
249,1,2014-02-15,0,NULL,248,NULL,6
250,1,2016-04-12,0,NULL,24143,NULL,6
251,1,2013-12-31,0,NULL,251,NULL,NULL
252,1,2016-05-22,0,NULL,23932,NULL,6
253,1,2016-02-15,1,NULL,23787,2016-06-05,6
254,1,2016-02-13,1,NULL,23161,2016-06-05,6
255,1,2016-04-30,0,NULL,23798,NULL,6
256,1,2016-07-21,0,NULL,24147,NULL,6
259,1,2016-10-13,0,NULL,24225,NULL,6
260,1,2016-07-21,0,NULL,24193,NULL,6
261,1,2016-05-19,0,NULL,23771,NULL,6
263,1,2014-04-10,0,NULL,263,NULL,NULL
264,1,2015-08-26,0,NULL,265,NULL,6
265,1,2014-10-13,0,NULL,264,NULL,NULL
269,1,2016-04-09,0,NULL,23792,NULL,6
271,1,2016-03-30,0,NULL,23877,NULL,6
272,1,2015-03-02,0,NULL,273,NULL,NULL
273,1,2010-11-10,0,NULL,274,NULL,NULL
274,1,2014-08-22,0,NULL,275,NULL,NULL
275,1,2015-11-23,0,NULL,22739,NULL,6
276,1,2016-05-16,0,NULL,24066,NULL,6
277,1,2010-09-22,0,NULL,278,NULL,NULL
278,1,2015-11-14,0,NULL,22770,NULL,6
279,1,2012-06-27,0,NULL,280,NULL,NULL
280,1,2014-02-20,0,NULL,281,NULL,NULL
281,1,2014-12-05,0,NULL,282,NULL,NULL
282,1,2014-10-19,0,NULL,283,NULL,NULL
283,1,2016-10-21,0,NULL,24282,NULL,6
284,1,2016-04-16,0,NULL,23664,NULL,6
285,1,2016-10-30,0,NULL,24311,NULL,6
286,1,2014-12-03,0,NULL,287,NULL,NULL
287,1,2016-03-25,0,NULL,23272,NULL,6
288,1,2016-04-23,0,NULL,23658,NULL,6
289,1,2016-03-31,0,NULL,23286,NULL,6
290,1,2015-11-16,0,NULL,291,NULL,6
291,1,2016-02-10,1,NULL,23148,2016-06-05,6
292,1,2016-06-10,0,NULL,24094,NULL,6
293,1,2015-03-18,0,NULL,294,NULL,NULL
294,1,2014-02-15,0,NULL,295,NULL,NULL
295,1,2015-12-16,0,NULL,23089,NULL,6
296,1,2015-11-07,0,NULL,23158,NULL,6
297,1,2016-08-16,0,NULL,24316,NULL,6
298,1,2016-07-13,0,NULL,24317,NULL,6
299,1,2015-12-20,0,NULL,23031,NULL,6
300,1,2015-11-02,0,NULL,23029,NULL,6
301,1,2016-02-17,1,NULL,24283,2016-06-05,6
302,1,2016-06-10,0,NULL,23826,NULL,6
303,1,2015-05-02,0,NULL,304,NULL,NULL
304,1,2015-07-01,0,NULL,306,NULL,NULL
305,1,2016-01-10,0,NULL,23273,NULL,6
306,1,2016-05-05,0,NULL,23891,NULL,6
307,1,2015-10-19,0,NULL,22698,NULL,6
308,1,2015-11-24,0,NULL,23048,NULL,6
309,1,2015-02-12,0,NULL,309,NULL,NULL
311,1,2015-12-27,0,NULL,23150,NULL,6
312,1,2016-04-11,0,NULL,24145,NULL,6
313,1,2016-04-06,0,NULL,23409,NULL,6
316,1,2015-04-03,0,NULL,317,NULL,NULL
319,1,2015-06-02,0,NULL,316,NULL,NULL
320,1,2016-05-02,0,NULL,24180,NULL,6
322,1,2015-06-07,0,NULL,319,NULL,NULL
323,1,2015-05-14,0,NULL,320,NULL,6
324,1,2015-05-27,0,NULL,321,NULL,NULL
325,1,2015-04-09,0,NULL,322,NULL,NULL
328,1,2016-05-16,0,NULL,24063,NULL,6
329,1,2016-02-10,1,NULL,326,2016-06-05,6
330,1,2016-06-05,0,NULL,24179,NULL,6
331,1,2015-11-11,0,NULL,329,NULL,6
332,1,2012-06-23,0,NULL,346,NULL,NULL
335,1,2015-09-21,0,NULL,331,NULL,6
336,1,2015-08-25,0,NULL,332,NULL,6
337,1,2016-05-15,0,NULL,24223,NULL,6
338,1,2016-07-01,0,NULL,24326,NULL,6
339,1,2015-04-21,0,NULL,336,NULL,NULL
340,1,2015-07-04,0,NULL,335,NULL,6
342,1,2015-10-26,0,NULL,22587,NULL,6
343,1,2016-02-05,1,NULL,339,2016-06-05,6
344,1,2016-06-25,0,NULL,24178,NULL,6
345,1,2016-08-16,0,NULL,24224,NULL,6
346,1,2016-10-28,0,NULL,24275,NULL,6
347,1,2015-03-31,0,NULL,23302,NULL,6
348,1,2015-06-19,0,NULL,344,NULL,6
349,1,2016-11-03,0,NULL,24294,NULL,6
350,1,2014-08-16,0,NULL,348,NULL,NULL
351,1,2014-10-17,0,NULL,349,NULL,NULL
353,1,2015-02-17,0,NULL,351,NULL,NULL
355,1,2016-07-21,0,NULL,24137,NULL,6
356,1,2015-11-15,0,NULL,23503,NULL,6
357,1,2016-04-08,0,NULL,23406,NULL,6
359,1,2016-09-03,0,NULL,24229,NULL,6
360,1,2016-07-03,0,NULL,24154,NULL,6
361,1,2016-04-10,0,NULL,23438,NULL,6
363,1,2014-09-09,0,NULL,360,NULL,NULL
364,1,2014-10-30,0,NULL,362,NULL,NULL
365,1,2014-06-28,0,NULL,363,NULL,NULL
366,1,2014-10-23,0,NULL,364,NULL,NULL
367,1,2014-11-06,0,NULL,365,NULL,NULL
369,1,2016-05-15,0,NULL,23856,NULL,6
370,1,2016-04-13,0,NULL,23498,NULL,6
371,1,2015-12-02,0,NULL,22764,NULL,6
372,1,2015-08-31,0,NULL,22761,NULL,6
373,1,2014-08-15,0,NULL,371,NULL,NULL
374,1,2016-05-28,0,NULL,23854,NULL,6
375,1,2014-12-05,0,NULL,374,NULL,NULL
376,1,2015-06-26,0,NULL,373,NULL,6
377,1,2015-02-27,0,NULL,375,NULL,NULL
378,1,2016-04-06,0,NULL,24142,NULL,6
380,1,2015-12-10,0,NULL,22765,NULL,6
382,1,2016-01-24,0,NULL,23151,NULL,6
383,1,2015-12-25,0,NULL,22955,NULL,6
385,1,2016-04-21,0,NULL,24068,NULL,6
388,1,2014-09-01,0,NULL,386,NULL,NULL
389,1,2016-04-05,0,NULL,23933,NULL,6
390,1,2015-12-28,0,NULL,23265,NULL,6
392,1,2016-02-25,1,NULL,23237,2016-06-05,6
393,1,2015-06-28,0,NULL,391,NULL,NULL
395,1,2014-06-21,0,NULL,393,NULL,NULL
397,1,2015-06-05,0,NULL,395,NULL,NULL
398,1,2015-11-10,0,NULL,397,NULL,6
399,1,2015-11-25,0,NULL,22813,NULL,6
401,1,2014-12-18,0,NULL,399,NULL,NULL
405,1,2015-05-15,0,NULL,403,NULL,NULL
407,1,2014-09-09,0,NULL,405,NULL,NULL
408,1,2015-03-16,0,NULL,23782,NULL,6
409,1,2015-08-04,0,NULL,407,NULL,6
