productID,industryID,procduct_byproducts_name,qty,productstatus
356,17066,"Metal 1.00""",1 cube/ day,Product
357,17066,"Metal 1.5""",1,Product
358,17066,"Metal 1.5""",1,Product
359,17066,"Metal 1.5""",1,Product
360,17066,"Metal 1.5""",1,Product
361,17994,6’*9’ Granite,,Product
362,16454,Gate,02 gates/month,Product
363,16454,Grill,100 kg/month,Product
364,16454,Other Iron works,150 kg/month,Product
365,17066,"Metal 1.5""",1 cube/ day,Product
366,17066,Metal Chips,1 cube/ day,By Product
367,17066,Metal Dust,1 cube/ day,By Product
368,16455,Rice,3600 kg/day,Product
369,16455,Bran,300 kg/day,By Product
370,16455,Broken Rice,100 kg/day,By Product
371,18052,Boilled rice,2500,Product
372,16647,Gate,1400kg,Product
373,16647,Grill,450kg,Product
374,18052,Chaff and bran,,By Product
375,17059,"Metal 0.75""",,Product
376,17059,"Metal 2.0""",,Product
377,17059,Metal Chips,,By Product
378,17059,Metal Dust,,Product
379,17835,6’*9’ Granite,,Product
380,17835,Metal dust,,By Product
381,18026,Broilers,,Product
382,16456,Rice,4500 kg/day,Product
383,16456,Bran,800 kg/day,By Product
384,16456,Broken Rice,200 kg/day,By Product
385,4160,Granite Sheets,10 m3/day,Product
386,1831,Polythene grains,,Product
387,1831,Polythene Roll,,Product
388,2620,chairs,,Product
389,3241,"Mugs, Amenity bottles",1000 per month from both products,Product
390,994,Ready Mixed Concrete,20,Product
391,18035,Mixed Fartilizer,,Product
392,4090,Brake Oil,5 MT,Product
393,4090,Adhesives,4 MT,Product
394,4090,Textile Auxiliaries,3 MT,Product
395,4090,Bleaching Agent,2.5 MT,Product
396,1832,19' racks,,Product
397,1832,Box Enclosures,,Product
398,1832,Distribution boxes,,Product
399,1846,Bottled Drinking water,,Product
400,17846,300l plastic water tank,,Product
401,17846,500 plastic water tank,,Product
402,17846,750l plastic water tank,,Product
403,17846,1000l plastic water tank,,Product
404,17846,1500l plastic water tank,,Product
405,17846,2000l plastic water tank,,Product
406,17846,5000l plastic water tank,,Product
407,18324,Broilers,3000/month,Product
408,17842,,,Product
409,4059,Shirts,20000/month,Product
410,4059,Trousers,7000/month,Product
411,4059,Coats,1000/month,Product
412,18037,Metal dust,3 cubes(3/4),Product
413,18037,Block Bricks,,By Product
414,3310,Ready-made and semi ready-made clothes,,Product
415,1840,PVC and rubber footweare sole and heel ,25000 pairs per month,Product
416,1840,Ladies PVC sole,,By Product
417,1840,Gents PVC Sole,,By Product
418,1840,Rubber Heel,,By Product
419,4061,Bedliners,1500/month,Product
420,4061,Sarongs,4000/months,Product
421,1010,General waste,,By Product
422,1010,Infectious waste,,By Product
423,17506,'6X9' Granaite,,Product
424,18503,posphate,,Product
425,16457,Rice,3000 kg/day,Product
426,16457,Bran,400 kg/day,By Product
427,16457,Broken Rice,100 kg/day,By Product
428,18497,Rice,8000 kg,Product
429,18497,Rice Bran,,By Product
430,4116,Polythene,300 kg,Product
431,16458,Rice,3600 kg/day,Product
432,16458,Bran,300 kg/day,By Product
433,16458,Broken Rice,100 kg/day,By Product
434,17847,Metal chips,1.5 cubes,Product
435,18588,Rice,2500,Product
436,16459,Rice,3600 kg/day,Product
437,17847,Metal dust,1.5 cubes,By Product
438,16459,Bran,300 kg/day,By Product
439,16459,Broken Rice,100 kg/day,By Product
440,17847,3/4 metal chips,4 cubes,By Product
441,17847,1' size metal chips,1 cube,By Product
442,18588,Chaff,,By Product
443,17324,6X9 granite ,,Product
444,2079,Boilers,,Product
445,2079,Geezer,,Product
446,2079,Kitchen items,,Product
447,2079,Furnace for Factories,,Product
448,2079,Boiling equipments,,Product
449,18499,Apatite,20000,Product
450,18123,pork,,Product
451,1859,Emulsification Asphalt,70000 L,Product
452,1265,Food & beveragus,,Product
453,4091,1 litter Round can,1000/day,Product
454,4091,2 litter Round can,1000/day,Product
455,4091,5 litter Round can,750/day,Product
456,4091,10 litter Round can,500/day,Product
457,4091,42 litter Round can,750/day,Product
458,3312,,,Product
459,4069,Automotive paints,60000 l/month,Product
460,18414,RICE,350,Product
461,4069,Thinners,50000 l/month,Product
462,1858,Rubber door mats,,Product
463,4069,Enamel paints,100000 l/month,Product
464,1858,Rubber hard soles for ladies shoes,,Product
465,4069,Enamel paints,100000 l/month,Product
466,4069,Resin/Paint sludge,,By Product
467,4069,Enamel Paints,100000 l/month,Product
468,4126,Tablets,66 millions/annum,Product
469,4126,Capsules ,79 millions/annum,Product
470,4126,Liquid orals,275000 l/annum,Product
471,4126,Suspensions,1100 l/annum,Product
472,4126,Oinaments ,3300 kg/annum,Product
473,4126,Cream, 1100 kg/annum,Product
474,4126,Dry Powders,275000 kg/annum,Product
475,4126,Water soluble powders, 5500 kg/annum,Product
476,24721,Dolamite,5 cube,Product
477,1861,"Brushers(1/4""-6"")",,Product
478,1861,Cataloy,,By Product
