industryID,fualtype,purpose,fuelconsumption,fid
17941,"Diesel, oil","For machinary use",NULL,229
10492,Diesel,"For generator",40,230
19215,no,no,0,231
16570,"Paddy husk",Boiling,NULL,232
16570,"Paddy husk",Boiling,NULL,233
16597,"paddy husk",Boiling,260,234
16597,,Boiling,NULL,235
989,Petrol,"Carberator cleaning",10,236
16464,Husk,"For boiler",500,237
2550,Disel,"To operate machines",15,238
10608,Diesel,"For generator",25,239
1014,Diesel,Generator,NULL,240
16465,Husk,"For boilers",750,241
24778,"LP Gas","Cooking & preperation",40,242
24773,"Diesel ",Machinery,40,243
1887,Diesel,"For vehicles",NULL,244
1887,Gas,,NULL,245
17845,"Diesel ",Machinery,NULL,246
2443,Disel,"To operate machines",10,247
3292,Diesel,"Diesel generator",NULL,248
18586,Diesel,"For machinary use",100,249
24783,"LP Gas",Cooking,2,250
18103,Desal,,NULL,251
24787,Disel,"For Machine",40,252
16466,Husk,"For boilers",500,253
1071,"LP Gas",Cooking,5,254
3231,No,-,NULL,255
24790,"LP Gas",Cooking,40,256
16467,Husk,"For boiler",500,257
24794,"LP Gas",Cooking,2,258
6192,"Diesel ","For machines",50,259
16468,Husk,"For boilers",150,260
1073,"LP Gas",Cooking,40,261
3215,Diesel,"Diesel generator",NULL,262
1898,Diesel,"Mechine Operation",6,263
17406,"Diesel ",Machinery,10,264
14156,Deisel,Generator,40,265
16470,Husk,"Fro boilers",500,266
917,"Diesel & Furnace oil","For boiler & generator",1020,267
16573,"Paddy husk",,NULL,268
16573,"paddy husk",Boiling,450,269
1901,Diesel,,10,270
24803,"Diesel ",Machinery,30,271
3222,No,-,NULL,272
11866,Diesel,"power generation",5,273
24802,"LP gas,diesel,petrol","for dryer ,vehicles and generator",NULL,274
12044,"paddy husk",boiler,NULL,275
16566,"paddy husk",Boiling,NULL,276
11864,Diesel,,10,277
6191,diesel,"for mining",50,278
16566,,Boiling,400,279
16765,"Fire Wood","Bake ",30,280
17387,Deisal,"Generator ",800,281
1069,"Diesel engine oil","For generator",0.88,282
1069,Diesel,"For generator",NULL,283
1069,"Palm oil","Frying of food ",14,284
17465,"Diesel ","For Generator and Vehicle",20,285
6159,diesel,"for machines",40,286
17400,"Diesel ",,NULL,287
3201,No,-,NULL,288
2763,Disel,"Operate machines",50,289
17384,Diesel,"For genarators",400,290
24808,Disel,"Metal crushing",8,291
16475,Husk,"For boilers",500,292
24811,Diesel,"For genarator",5,293
1906,petrol,,NULL,294
1906,Kerosene,,NULL,295
12020,"burnt oil","electricity genaration",10,296
16476,Husk,"For boilers",500,297
3195,"Kerosine oil","cleaning machinery after soaking cotton waste",25,298
16568,"paddy husk","Boiling water",120,299
2835,Disel,"Operate machines",10,300
16477,Husk,"For boiler",500,301
1909,Diesel,"To clean vehicles",2,302
1909,Kerosene,"To clean vehicles",2,303
16478,Husk,"For boiler",500,304
4998,Diesel,"For generator",NULL,305
18668,Desal,,30,306
16564,"paddy husk","Boiling water",280,307
16800,"Fire wood ","Bake ",40,308
18680,"Diesel ","For Machines ",50,309
1908,"Burning oil","For boiller",250,310
16480,Husk,"For boiler",200,311
4996,"LP Gas",Cooking,NULL,312
4996,Diesel,"For generator",50,313
3228,Diesel,"Boilers and generators",30,314
17375,Diesel,Machinery,NULL,315
16562,"paddy husk","Boiling water",280,316
5006,"LP Gas",Cooking,40,317
17389,Diesel,"For machines",30,318
5014,"LP Gas",Cooking,45,319
1917,Diesel,Transport,1000,320
2453,Disel,"To genarate compresure machines ",30,321
4987,Diesel,"Electricity break down",NULL,322
3339,No,-,NULL,323
18666,Diesel,"For machine",30,324
18366,"Diesel ","For Machines ",NULL,325
4992,"LP Gas",Cooking,NULL,326
2616,Disel,"Operate machines",30,327
24822,Diesel,Machinery,10,328
24822,Kerasol,Machinery,10,329
18363,"Diesel ","For Machines ",NULL,330
17392,"Deisel ","Boiler and generatort",1,331
5138,"LP Gas",Cooking,10,332
17755,Diesel,"For Genarator",175,333
1920,Diesel,"Diesel generator",NULL,334
17232,,,NULL,335
5038,"LP Gas",Cooking,NULL,336
3227,Diesel,"For truck mixers/ concrete pumps/ Generators",500,337
18352,"Diesel ","For Machines ",40,338
24824,Diesel,"Machinery use",10,339
18427,Diesel,"Generator, Loader",200,340
5140,"LP Gas",Cooking,5,341
17385,Diesel,"Machinery use",200,342
24825,"Paddy husk","Steam Generation",NULL,343
3598,Diesel,"Crane and crane",50,344
18664,Diesel,,10,345
5129,"LP Gas",Cooking,15,346
18648,Diesel,"Machinery use",30,347
5133,"LP Gas",Cooking,13,348
2799,Disel,"Metal crushing",NULL,349
5040,"LP Gas",Cooking,12,350
3213,No,-,NULL,351
2752,Disel,"Operate machines",10,352
5003,Diesel,"For generator",NULL,353
5003,"LP Gas","Cooking & Cloth drirer",NULL,354
16754,"Paddy husk ","Boiling of water",600,355
2439,Disel,"Operate machines",40,356
3302,No,-,NULL,357
2613,Disel,"To operate machines",30,358
3233,Diesel,"Diesel generator",NULL,359
5142,"LP Gas",Cooking,2,360
2554,Disel,"Operate machines",20,361
1927,Diesel,"For vehicles",600,362
5139,Diesel,"For generator",NULL,363
1927,Kerosene,kiln,2500,364
3338,No,-,NULL,365
1924,Diesel,"Generator operating",NULL,366
5001,"Furnace oil",Boiler,600,367
1932,wood,"Boiling raw materials",NULL,368
1000,"Furnace oil",Boiler,550,369
5030,Diesel,"For generator",NULL,370
2999,Disel,"Metal crushing",15,371
3239,No,-,NULL,372
3286,No,-,NULL,373
16755,"Paddy husk","Boiling ",300,374
14640,"Kerosene ","Washing  Parts of Motobike",1,375
16756,"Paddy husk ","Boiling ",500,376
16572,"paddy husk","Boiling water",100,377
16572,,,NULL,378
16763,"Paddy husk ",Boiling,600,379
16773,"Paddy husk ","Boiling ",600,380
16482,Husk,"For boiler",500,381
16485,"Paddy husk","For boiler",800,382
16486,"Paddy husk","For boiler",800,383
16489,"Paddy husk ","For boiler",500,384
16762,"Fire wood ","Barking ",100,385
16813,"L.P.gas ","Cooking ",13.5,386
11755,kerosine,cleaning,NULL,387
11755,diesel,cleaning,NULL,388
24851,Electricity,"For food Mixer",NULL,389
11718,Diesel,"For compress",25,390
11822,Diesel,,165,391
11736,Diesel,"electricity genaration",NULL,392
5357,,,NULL,393
10219,Diesel,"Generator/ steam boiler",894,394
1938,Diesel,"Heating of aggregates and vehicles",4500,395
2847,Disel,"Operate machines",NULL,396
11722,Diesel,"Drilling rock",10,397
11680,Diesel,"power genaration",125,398
2547,Disel,"Operate machines",6,399
16487,Husk,"For boiler",500,400
24859,Desal,"to starting power generator",250,401
3224,Diesel,"Diesel Generator",NULL,402
11852,Diesel,,NULL,403
11852,Greeze,,NULL,404
11852,Kerozene,,NULL,405
16490,Husk,"For boiler",500,406
24861,"furness oil, crude oil",meltinh,80,407
11861,Diesel,,25,408
2760,Disel,"Operate machines",20,409
11861,Oil,,1,410
16491,"Paddy husk","For boiler",500,411
18373,Diesel,"For Machines",NULL,412
2405,Diesel,"for loaders,Truks,pump cars and generators",1100,413
16757,"Fire wood ","Barking ",50,414
18665,Diesel,Generator,NULL,415
10459,Disel,"power generation",100,416
24866,Diesel,"Power generation",45,417
12149,Diesel,"bore the rock",50,418
3309,No,-,NULL,419
16496,Husk,"for boiler",500,420
16570,"paddy husk","Boiling water",275,421
11933,Diesel,,15,422
6610,,,NULL,423
3274,No,-,NULL,424
12151,Diesel,Tractor,NULL,425
4107,Kerosine,"For service purposes",3,426
24877,diesel,"For Compressor and Bacco machines",20,427
16565,"paddy husk","Boiling water",150,428
18378,Diesel,"for generator",NULL,429
1947,Diesel,Crushers,50,430
18428,Diesel,,250,431
10445,"diesel ","lime stone mining ",NULL,432
11831,"Paddy husk",,1500,433
3323,No,-,NULL,434
18429,Diesel,"For Machinery",100,435
17243,Diesel,,20,436
11785,"Paddy husk","Power genaration",NULL,437
16441,"Paddy husk","For boilers",1000,438
5353,"Diesel,Cerocene Oi,","Drying,Power genarating",10,439
16574,"paddy husk","Boiling water",300,440
4108,"Furnance oil","For boilers",520,441
4108,Wood,"For boilers",12,442
3298,No,-,NULL,443
16563,"paddy husk","Boiling water",260,444
998,Diesel,"To operate the boiler &   stand by generator",94.6,445
16567,"paddy husk","Boiling water",200,446
24887,Diesel,Heating,0.4,447
16575,"paddy husk","Boiling water",280,448
16569,"paddy husk","Boiling water",255,449
16571,"paddy husk","Boiling water",200,450
18358,Diesel,"For Machines",30,451
18337,Diesel,"For Machines",NULL,452
1933,Kerosene,"For Boiler",60,453
5033,Diesel,Transport,35,454
3209,No,-,NULL,455
4072,"Furnance oil","Burner heating",20,456
2463,Disel,"Operate machines",20,457
1028,Diesel,"Generator (When power cut)",10,458
1945,"Furnace oil","For Boiler",130,459
6111,Diesel,"For generator",NULL,460
16758,"diesel ","Operating generator in power failure time ",5,461
5137,"L P Gas",Cooking,10,462
1020,Diesel,Generator,NULL,463
3234,Diesel,Generator,NULL,464
1955,Diesel,"oil heating",40,465
1067,"LP Gas",Cooking,7,466
1067,Diesel,Generator,100,467
17205,diesal,,NULL,468
1843,Diesel,"For vehicles",NULL,469
5024,Diesel,Generator,NULL,470
3226,Diesel,"for cranes and heavy equipments",NULL,471
5036,"LP Gas",Cooking,60,472
1946,Diesel,"Mechine Operation",50,473
16988,Diesel,"Operation of Machenaris",10,474
24909,Diesal,"Operate Machine",NULL,475
2068,Diesel,"Compressure machine",10,476
4791,Kerosene,Washing,NULL,477
18377,Diesel,"for generator",26.49,478
11824,"Paddy husk","for Boileruwa",600,479
4662,Diesel,"For boiler",40,480
16918,Kerosen,washin,0.1,481
18375,Deisel,,NULL,482
18202,Diesel,"Vehicle useage",3,483
6116,Diesal,"for generators",5,484
6116,,,NULL,485
16380,"Diesel ","for drilling",2.5,486
6165,Diesel,"for sand by generator",NULL,487
18996,,,NULL,488
18379,Diesel,,NULL,489
18205,Diesel,"Production process",50,490
1016,"LP Gas",Cooking,NULL,491
1275,Diesel,"For generator",NULL,492
3538,No,-,NULL,493
10260,Diesel,"For Machinaries",50,494
1957,Diesel,generator,NULL,495
16921,Kerosen,washing,0.05,496
2590,Diesel,"To operate gnarators",NULL,497
1017,Diesel,"Generator, boiler & incinerator",NULL,498
1017,Gas,"For lab use",NULL,499
3284,No,-,NULL,500
4620,"LP Gas","Printer & oven heating",750,501
16922,Kerosen,washing,0.05,502
19019,,,NULL,503
11676,Diesel,"to machines",100,504
24925,Diesel,,NULL,505
10264,Diesel,"To operate the ready mixed plant",50,506
3190,diesel,"For vehicles and power generators",1000,507
4627,"LP Gas","Drying ovens",430,508
4627,"Furnance oil","Welding Torches",260,509
3221,No,-,NULL,510
1070,"LP Gas",Cooking,75,511
6196,Diesel,Generator,NULL,512
18228,Petrol,"for Generators",NULL,513
6109,"Burned oil","for boiler",150,514
922,"Karosene & Diesel",,30,515
2276,Diesel,Generator,NULL,516
24926,"Paddy husk","For boiler",80,517
24935,Kerosine,"To clean vehicle",10,518
4606,Diesel,"For generator",NULL,519
3190,"Furnace Oil","for rodmill furnaces",4000,520
18194,Diesel,"For generator and Cooking",NULL,521
18194,Wood,"For generator and Cooking",30,522
18194,Gas,"For generator and Cooking",3,523
6198,Diesel,"Stand by generator",NULL,524
4611,"Furnance oil",drying,850,525
2598,Disel,"Metal Quarry",NULL,526
3225,Diesel,Generators,NULL,527
6199,Diesel,"Stand by generator",NULL,528
3257,Diesel,,2700,529
2802,Disel,"Metal Crush",NULL,530
3483,No,,NULL,531
10233,,"Stand by",3.9,532
2407,Diesel,"For boilers and generator",130,533
11767,Kerosine,Washing,4,534
4696,Diesel,"For generator",250,535
11772,"Paddy husk","for boiling paddy",NULL,536
2037,Diesel,"For vehicle",350,537
24946,Diesel,"Generators & Jonylift machines ",8,538
973,"Kerosene oil","Cleaning of machine parts, printing rollers",2,539
11931,Diesel,"For compressor",20,540
5168,"L P gas",Cooking,NULL,541
2624,Disel,"To operatrate machines",15,542
24947,Diesel,"Operate Machine ",10,543
4751,Diesel,"For generator",NULL,544
16403,Diesel,"For mechinery operation",30,545
5196,"L P gas",Cooking,37,546
4603,Kerosene,"For firing",10,547
2625,Disel,,NULL,548
18207,deisel,,5,549
18207,"kerosene oil",,5,550
18923,Diesel,"Emergency use",0.1,551
12171,Diesel,,50,552
11675,Diesel,"for machines",100,553
17278,Deisel,"For machins ",25,554
18183,Kerasol,"Removing Tar from Vehicles",NULL,555
12169,Diesel,,50,556
11672,Diesel,"For machines",600,557
12170,Diesel,,NULL,558
4615,Diesel,,NULL,559
18206,Diesel,"For Vehicles",15,560
5000,Diesel,"For generator",NULL,561
1973,Diesel,"For vehicle",100,562
16375,Diesel,"operation of mechineries",153,563
3504,No,,NULL,564
4693,Diesel,"For generator",70,565
1122,"LP Gas",Cooking,37.5,566
1122,Diesel,"For generator",NULL,567
24962,L.P.gas,cooking,10,568
6623,Diesel,"For equipments",4,569
1150,Diesel,"For generator & vehicles",50,570
4795,Diesel,"For generator",250,571
18195,Kerasol,,NULL,572
1074,"LP Gas",Cooking,40,573
1296,"Domestic and Medical Gas",,NULL,574
11792,Diesel,"for Boiler",40,575
18308,Diesel,,NULL,576
16580,,,NULL,577
3603,No,,NULL,578
17021,Deisel,"Machine operate",30,579
11773,"Paddy husk","For boiler",1000000,580
4632,"Diesel/Furnance oil","To run boiler and generators",NULL,581
17024,Deisel,"Machine operate",30,582
3533,No,,NULL,583
1299,Diesel,,NULL,584
1299,Gas,"For bakery production",NULL,585
18320,Diesel,"Vehicle use",300,586
18197,Diesel,,NULL,587
1033,Diesel,"To operate ovens",100,588
1978,Diesel,"For generator",NULL,589
16580,Deisal,"Operating Generator ",120,590
24977,L.P.gas,cooking,10,591
5189,"Diesel ","For generators",10,592
17039,Deisel,"Machine operate",20,593
990,"Kerosene oil","Operate machines",NULL,594
18924,Diesel,Emergency,0.1,595
1977,Gas,kiln,500,596
4610,"Furnance oil","For boiler",300,597
10231,Penitrating,"Reduce Corrosive effect on vehicals",15,598
